iter	Logloss
0	0.6899864329
1	0.6868522606
2	0.6840565952
3	0.6813039661
4	0.6789631538
5	0.6768097386
6	0.6746779907
7	0.6729548304
8	0.6711418094
9	0.6695176037
10	0.6680690879
11	0.6667258072
12	0.6652753025
13	0.6643800125
14	0.6632143674
15	0.6621507953
16	0.6612153744
17	0.6603253372
18	0.6594447781
19	0.6586881933
20	0.6578822605
21	0.6573333456
22	0.6566345187
23	0.6560332764
24	0.6554684021
25	0.6549805827
26	0.6544710704
27	0.6540084008
28	0.6535341837
29	0.6529819503
30	0.6524683008
31	0.6520091296
32	0.6515919104
33	0.6512356804
34	0.6509444713
35	0.6505660395
36	0.6502630507
37	0.6499462535
38	0.649638685
39	0.6493687353
40	0.6490366129
41	0.6487822397
42	0.6485403323
43	0.6482925629
44	0.6480291377
45	0.6478085718
46	0.6475463489
47	0.647285565
48	0.6470759936
49	0.6469033115
50	0.6466923172
51	0.6465781141
52	0.6463040713
53	0.6461638829
54	0.6460382918
55	0.6458453585
56	0.6456435842
57	0.6455283758
58	0.6453733388
59	0.6451440633
60	0.6449466533
61	0.6447518727
62	0.6445790575
63	0.644436036
64	0.6441431242
65	0.643998675
66	0.6438715756
67	0.643750744
68	0.6435554726
69	0.643438881
70	0.6432997108
71	0.6432037171
72	0.6430706228
73	0.6429239807
74	0.6427503853
75	0.6425011939
76	0.6423800788
77	0.6422567628
78	0.6421479304
79	0.6420017629
80	0.6418819006
81	0.641678589
82	0.641474859
83	0.6413649444
84	0.6412703534
85	0.6411406843
86	0.6410345242
87	0.640897426
88	0.6407928611
89	0.6406305788
90	0.6405076117
91	0.6403827185
92	0.6402825892
93	0.6401628496
94	0.6400740361
95	0.6399941019
96	0.6398980949
97	0.6398168973
98	0.6395189837
99	0.6394933992
100	0.6393967451
101	0.6391150439
102	0.6389630716
103	0.6388860095
104	0.6387690463
105	0.638697473
106	0.6386059076
107	0.6383852274
108	0.6383267445
109	0.6382361322
110	0.6381076744
111	0.6379520992
112	0.6378811154
113	0.6377810883
114	0.6377143892
115	0.637637754
116	0.6375177736
117	0.6374119572
118	0.6373223066
119	0.6371986508
120	0.6370631211
121	0.6370215105
122	0.6368457176
123	0.636762358
124	0.6366803754
125	0.636452383
126	0.6363775702
127	0.6362946788
128	0.6362164447
129	0.6360950455
130	0.6359857355
131	0.6359095964
132	0.6358141896
133	0.6357605323
134	0.6356592542
135	0.6355501094
136	0.6354523071
137	0.635384573
138	0.6353481111
139	0.6352865555
140	0.6352511166
141	0.6352016108
142	0.6349747676
143	0.6349427453
144	0.6347882129
145	0.6347408863
146	0.6346928819
147	0.6346476746
148	0.6345562334
149	0.6345026959
150	0.6343270239
151	0.6342687972
152	0.6342226861
153	0.6341712592
154	0.6340902926
155	0.6340503531
156	0.6339473346
157	0.633925223
158	0.6338614715
159	0.6337927854
160	0.6337698522
161	0.6337438172
162	0.633650549
163	0.6336231451
164	0.6335427484
165	0.6334833757
166	0.633413692
167	0.6332457252
168	0.6330432601
169	0.6329094195
170	0.6328791241
171	0.6327892074
172	0.6327432341
173	0.6327131282
174	0.6326650721
175	0.6326086987
176	0.6325639331
177	0.6324845227
178	0.6323464215
179	0.6322691438
180	0.6322362954
181	0.6321851814
182	0.6320492975
183	0.631949405
184	0.631866892
185	0.6318224438
186	0.6317323466
187	0.6316670568
188	0.6316344485
189	0.6315751528
190	0.6315095767
191	0.6314293618
192	0.6312288739
193	0.6311914545
194	0.63115551
195	0.6310373284
196	0.6310031953
197	0.630925909
198	0.6308206752
199	0.630749295
200	0.6307020878
201	0.6306630272
202	0.6306105954
203	0.6305405328
204	0.630494379
205	0.6304429953
206	0.6303652806
207	0.6301189375
208	0.630059927
209	0.6299996712
210	0.6299289557
211	0.6298687691
